prompt,complexity
What is 2+2?,simple
What is the capital of France?,simple
What does CPU stand for?,simple
"How do you spell ""necessary""?",simple
What color is the sky?,simple
What year was the Eiffel Tower built?,simple
Who wrote Romeo and Juliet?,simple
What is the boiling point of water?,simple
How many days are in a week?,simple
What is H2O?,simple
"Translate ""hello"" to Spanish",simple
What is the largest planet?,simple
How many continents are there?,simple
What is the speed of light?,simple
What does HTML stand for?,simple
Who was the first US president?,simple
What is 15% of 200?,simple
What language does Python use?,simple
What does FAQ mean?,simple
What is a byte?,simple
Convert 100 Fahrenheit to Celsius,simple
What is the square root of 144?,simple
Who invented the telephone?,simple
What is the currency of Japan?,simple
How many hours in a day?,simple
"What is the plural of ""mouse""?",simple
"Define the word ""ephemeral""",simple
What is the atomic number of oxygen?,simple
What does DNS stand for?,simple
List the primary colors,simple
What is 7 times 8?,simple
What is the chemical symbol for gold?,simple
What timezone is New York in?,simple
What is RAM in computing?,simple
What does API stand for?,simple
Who painted the Mona Lisa?,simple
What is the national animal of Australia?,simple
How many letters are in the alphabet?,simple
What does RGB stand for?,simple
What is the formula for area of a circle?,simple
What is a haiku?,simple
Name three vowels in English,simple
What is the Internet?,simple
"Define ""algorithm""",simple
What is 1000 divided by 8?,simple
Who is the author of Harry Potter?,simple
What does USB stand for?,simple
What is photosynthesis in one sentence?,simple
What year did World War 2 end?,simple
What is the Pythagorean theorem?,simple
Explain what a database is in simple terms,medium
Write a Python function to reverse a string,medium
What are the main differences between SQL and NoSQL?,medium
Explain how TCP/IP works,medium
Write a regex to validate an email address,medium
Summarize the causes of World War 1,medium
How does garbage collection work in Python?,medium
What is the difference between REST and GraphQL?,medium
Explain what Docker is and why it's used,medium
Write a function to find duplicates in a list,medium
What are SOLID principles in software design?,medium
Explain recursion with an example,medium
How does HTTPS differ from HTTP?,medium
What is a microservices architecture?,medium
Write a SQL query to find top 5 customers by revenue,medium
Explain the CAP theorem in distributed systems,medium
How does JWT authentication work?,medium
What are the differences between Python 2 and Python 3?,medium
Describe the MVC design pattern,medium
Write a bash script to monitor CPU usage,medium
Explain how React's virtual DOM works,medium
What is the difference between a process and a thread?,medium
Explain Big O notation with examples,medium
How does binary search work?,medium
Write a function to implement a stack using two queues,medium
What is a context manager in Python?,medium
Explain what WebSockets are and when to use them,medium
How does CSS specificity work?,medium
What is dependency injection?,medium
Explain the publisher-subscriber design pattern,medium
How do promises work in JavaScript?,medium
What is memoization and why is it useful?,medium
Write a Python class for a linked list,medium
Explain what Kubernetes does,medium
How does Redis work as a cache?,medium
What is a hash table and how does it handle collisions?,medium
Explain the difference between supervised and unsupervised learning,medium
Write a function to detect if a string is a palindrome,medium
What is a closure in programming?,medium
How does OAuth 2.0 work?,medium
Explain event-driven architecture,medium
What is the difference between TCP and UDP?,medium
How does a relational database index work?,medium
Write a Python decorator for retry logic,medium
Explain what CORS is and why it matters,medium
How does consistent hashing work?,medium
What is the difference between synchronous and asynchronous code?,medium
"Explain map, filter, and reduce with examples",medium
How does Git branching work?,medium
What are database transactions and ACID properties?,medium
Explain what a load balancer does,medium
How does the event loop work in Node.js?,medium
Write a function to merge two sorted arrays,medium
Explain the difference between stack and heap memory,medium
What is infrastructure as code?,medium
How does content delivery network (CDN) work?,medium
Write a Python script to parse a CSV file,medium
What are the trade-offs of a monolith vs microservices?,medium
Explain what a deadlock is and how to prevent it,medium
How does SSL/TLS handshake work?,medium
